OBSPRED_ID,NoRWeST_ID,MonthYear,MonthlyMax,MonthlyMin,MonthlyMean,SD,Ndays,MaxDailyRange,SampleMonth,SampleYear
10,MidSnake_10,Aug-10,19.76,7.21,14.37196237,1.922414925,31,7.43,8,2010
10,MidSnake_10,Sep-10,16.27,6.3,10.52512821,1.439724722,13,6.72,9,2010
11,MidSnake_11,Jun-10,20.88,8.24,13.90287037,0.753057899,9,10.57,6,2010
11,MidSnake_11,Jul-10,21.38,8.09,14.64048387,1.275058201,31,10.75,7,2010
11,MidSnake_11,Aug-10,20.26,6.88,13.73443548,1.688460089,31,10.04,8,2010
11,MidSnake_11,Sep-10,17.88,4.81,11.23212121,1.40174883,22,9.64,9,2010
12,MidSnake_12,Jun-97,19.95,10.28,15.04005952,1.196120191,21,7.27,6,1997
12,MidSnake_12,Jul-97,21.76,10.6,16.81517742,1.5544682,31,7.39,7,1997
12,MidSnake_12,Aug-97,21.76,12.31,16.34244355,1.354552942,31,6.45,8,1997
12,MidSnake_12,Sep-97,17.19,11.37,14.59521154,0.921780223,13,3.78,9,1997
13,MidSnake_13,Jun-97,20.2,7.98,13.864025,1.473092504,20,9.57,6,1997
13,MidSnake_13,Jul-97,25.07,8.75,16.85217742,1.975541968,31,11.18,7,1997
13,MidSnake_13,Aug-97,25.59,10.45,16.64033065,1.517991029,31,10.72,8,1997
13,MidSnake_13,Sep-97,20.69,8.9,14.89025,1.428337021,14,8.89,9,1997
14,MidSnake_14,May-98,17.24,4.33,9.621980769,1.451593023,26,11.04,5,1998
14,MidSnake_14,Jun-98,20.29,6.67,13.0401,1.43263434,30,11.41,6,1998
14,MidSnake_14,Jul-98,22.95,13.77,18.54009677,0.903511053,31,6.64,7,1998
14,MidSnake_14,Aug-98,22.45,11.77,16.76683065,1.714761943,31,6.61,8,1998
14,MidSnake_14,Sep-98,18.85,8.83,13.42526667,2.493302514,30,4.41,9,1998
14,MidSnake_14,Oct-98,11.3,4.8,7.342571429,1.315843801,14,2.49,10,1998
15,MidSnake_15,Jul-98,25.91,11.5,17.320625,0.655809861,25,12.86,7,1998
15,MidSnake_15,Aug-98,25.39,10.42,16.43584005,1.064291297,31,12.14,8,1998
15,MidSnake_15,Sep-98,23.66,8.71,14.14538194,1.771859174,30,11.7,9,1998
15,MidSnake_15,Oct-98,17.6,4.06,9.296296296,1.440740165,18,8.68,10,1998
16,MidSnake_16,Jul-98,30.01,10.5,18.37661667,0.887223635,25,17.52,7,1998
16,MidSnake_16,Aug-98,29.46,8.02,17.22676075,1.670386689,31,17.4,8,1998
16,MidSnake_16,Sep-98,26.04,5.07,13.63936111,2.887260295,30,15.39,9,1998
16,MidSnake_16,Oct-98,17.05,0.01,6.28068287,2.078673546,18,11.18,10,1998
17,MidSnake_17,May-98,18.1,2.8,9.047875,1.620005573,26,11.51,5,1998
17,MidSnake_17,Jun-98,22.02,5.76,12.01688333,1.155312496,30,13.48,6,1998
17,MidSnake_17,Jul-98,22.02,10.57,15.52955645,0.651135923,31,11.29,7,1998
17,MidSnake_17,Aug-98,20.68,8.87,14.76762097,1.37158964,31,8.07,8,1998
17,MidSnake_17,Sep-98,17.62,6.7,12.20509167,2.346306149,30,5.8,9,1998
17,MidSnake_17,Oct-98,11.66,2.48,6.248152778,1.715490073,18,4.35,10,1998
18,MidSnake_18,May-99,19.43,5.47,12.23375,1.220885544,11,11.91,5,1999
18,MidSnake_18,Jun-99,19.43,5.47,13.08055556,2.62059401,30,9.49,6,1999
18,MidSnake_18,Jul-99,21.4,8.74,15.30200941,1.429228752,31,8.17,7,1999
18,MidSnake_18,Aug-99,20.07,8.43,14.91592742,1.396902482,31,6.42,8,1999
18,MidSnake_18,Sep-99,12.93,3.6,9.581006944,1.76012339,30,4.96,9,1999
18,MidSnake_18,Oct-99,9.36,4.38,6.710333333,0.779768799,5,3.12,10,1999
19,MidSnake_19,May-99,21.83,5.14,12.73385417,1.289231427,12,14.46,5,1999
19,MidSnake_19,Jun-99,26.27,4.67,13.48425,2.569685458,30,17.2,6,1999
19,MidSnake_19,Jul-99,29.7,5.76,16.21759409,1.652765452,31,19.47,7,1999
19,MidSnake_19,Aug-99,29.33,5.92,16.24935484,1.658328244,31,17.86,8,1999
19,MidSnake_19,Sep-99,22.5,0.88,11.21270139,2.163046196,30,16.58,9,1999
19,MidSnake_19,Oct-99,15.7,1.83,7.584041667,0.723804549,5,13.39,10,1999
20,MidSnake_20,Jun-00,21.45,12.52,16.91029167,0.674460827,10,7.47,6,2000
20,MidSnake_20,Jul-00,22.45,10.5,16.99625672,1.575170174,31,7.13,7,2000
20,MidSnake_20,Aug-00,22.62,10.81,15.89908602,1.964629042,31,5.93,8,2000
20,MidSnake_20,Sep-00,15.48,4.92,10.75652778,2.360696944,30,4.65,9,2000
20,MidSnake_20,Oct-00,12.21,2.08,6.567715517,1.80905663,29,3.11,10,2000
21,MidSnake_21,Jun-00,23.42,8.16,15.05776515,0.616980615,11,13.25,6,2000
21,MidSnake_21,Jul-00,25.32,8.47,15.38947581,1.255446897,31,13.14,7,2000
21,MidSnake_21,Aug-00,25.32,8.77,15.15592742,1.141177181,31,13.69,8,2000
21,MidSnake_21,Sep-00,21.75,5.52,11.91860417,1.630473132,30,11.29,9,2000
21,MidSnake_21,Oct-00,17.2,5.21,9.300533854,0.915377265,16,10.25,10,2000
22,MidSnake_22,Jun-00,28.14,6.64,16.52291667,0.980936295,11,18.68,6,2000
22,MidSnake_22,Jul-00,29.97,6.95,17.23917339,1.95973845,31,17.69,7,2000
22,MidSnake_22,Aug-00,29.78,7.88,16.6659879,1.894266333,31,16.87,8,2000
22,MidSnake_22,Sep-00,24.11,1.95,11.30027083,2.660253454,30,14.71,9,2000
22,MidSnake_22,Oct-00,16.73,0.99,7.249283854,1.485950808,16,11.99,10,2000
23,MidSnake_23,Jun-00,20.67,8.24,14.08132576,0.764096134,11,9.92,6,2000
23,MidSnake_23,Jul-00,23.51,7.62,14.88277554,1.634165558,31,10.94,7,2000
23,MidSnake_23,Aug-00,23.16,7.47,14.49079301,1.697539211,31,11,8,2000
23,MidSnake_23,Sep-00,19.54,2.15,10.23304861,2.504370677,30,9.47,9,2000
23,MidSnake_23,Oct-00,14.43,1.68,7.040533854,1.396070343,16,8.42,10,2000
24,MidSnake_24,Jun-00,23.65,12.26,17.59759929,0.839399872,10,9.91,6,2000
24,MidSnake_24,Jul-00,25.73,10.41,17.94495296,1.951627756,31,10.38,7,2000
24,MidSnake_24,Aug-00,26.25,9.78,17.09500672,1.908630694,31,10.13,8,2000
24,MidSnake_24,Sep-00,20.48,3.75,11.78893056,2.652907361,30,8.68,9,2000
24,MidSnake_24,Oct-00,15.84,0.75,7.000797989,1.899863952,29,6.66,10,2000
25,MidSnake_25,Jun-01,20.55,7.14,14.13092949,1.883235802,26,7.53,6,2001
25,MidSnake_25,Jul-01,22.71,11.95,17.13555108,1.629975717,31,6.8,7,2001
25,MidSnake_25,Aug-01,21.04,11.95,16.52052419,1.348388167,31,5.88,8,2001
25,MidSnake_25,Sep-01,16.82,6.98,11.89825,1.866176539,30,4.04,9,2001
25,MidSnake_25,Oct-01,10.71,3.23,6.974270833,1.286384329,16,3.29,10,2001
26,MidSnake_26,May-01,21,6.52,12.43047619,0.923551526,7,12.89,5,2001
26,MidSnake_26,Jun-01,23.33,5.58,12.19538889,1.541730516,30,14.18,6,2001
26,MidSnake_26,Jul-01,24.71,9.15,15.25541667,1.146362565,31,13.43,7,2001
26,MidSnake_26,Aug-01,24.71,9.46,16.395,1.242329488,31,12.92,8,2001
26,MidSnake_26,Sep-01,21,5.27,12.74076389,1.568695667,30,12.49,9,2001
26,MidSnake_26,Oct-01,16.32,3.56,8.738125,1.444090697,16,9.02,10,2001
27,MidSnake_27,May-01,16.47,6.55,10.78463542,0.825504188,8,8.69,5,2001
27,MidSnake_27,Jun-01,19.68,5.31,10.96152778,1.594181054,30,10.21,6,2001
27,MidSnake_27,Jul-01,22.14,8.71,14.31571237,1.156323102,31,11.69,7,2001
27,MidSnake_27,Aug-01,22.8,8.71,14.96432796,1.102191198,31,11.9,8,2001
27,MidSnake_27,Sep-01,20.48,5.62,11.76872222,1.565680345,30,11.17,9,2001
27,MidSnake_27,Oct-01,16.16,2.8,7.736979167,1.55207654,16,9.61,10,2001
28,MidSnake_28,May-01,21.02,9.05,15.38619792,1.503942676,8,9.46,5,2001
28,MidSnake_28,Jun-01,24.22,6.26,15.02858333,2.388605756,30,11.03,6,2001
28,MidSnake_28,Jul-01,26.12,11.36,18.62080645,1.814815969,31,10.46,7,2001
28,MidSnake_28,Aug-01,26.3,11.06,18.2719086,1.440005223,31,10.33,8,2001
28,MidSnake_28,Sep-01,21.69,6.42,13.41091667,2.076560997,30,9.31,9,2001
28,MidSnake_28,Oct-01,14.46,2.19,7.902395833,1.895566529,16,7.11,10,2001
29,MidSnake_29,May-01,21.25,8.9,15.27379755,1.504403439,8,9.67,5,2001
29,MidSnake_29,Jun-01,24.64,6.26,14.94438889,2.384202997,30,11.4,6,2001
29,MidSnake_29,Jul-01,26.22,11.38,18.47350806,1.788326611,31,10.73,7,2001
29,MidSnake_29,Aug-01,26.04,11.54,18.07294355,1.441808776,31,10.1,8,2001
29,MidSnake_29,Sep-01,20.59,6.57,13.13647222,2.050046671,30,8.09,9,2001
29,MidSnake_29,Oct-01,14.02,2.18,7.655989583,1.855836258,16,6.82,10,2001
30,MidSnake_30,Jul-01,26.07,10.82,17.68961594,1.593388275,25,11.79,7,2001
30,MidSnake_30,Aug-01,26.07,10.82,17.7575672,1.432139935,31,11.38,8,2001
30,MidSnake_30,Sep-01,22.12,6.18,13.06984722,2.016727463,30,10.27,9,2001
30,MidSnake_30,Oct-01,15.81,1.16,6.750537634,1.925288781,31,8.85,10,2001
31,MidSnake_31,Jul-01,27.87,16.46,22.5105587,1.457881861,25,8.07,7,2001
31,MidSnake_31,Aug-01,30.27,16.46,22.67622312,1.353429727,31,10.03,8,2001
31,MidSnake_31,Sep-01,26.8,11.77,17.72318056,2.052023352,30,10.71,9,2001
31,MidSnake_31,Oct-01,17.26,6.97,12.27274306,2.357959157,12,5.02,10,2001
32,MidSnake_32,Apr-02,13.96,1.83,6.630412641,1.150676501,27,11.01,4,2002
32,MidSnake_32,May-02,19.05,2.95,9.503951613,1.594372841,31,11.34,5,2002
32,MidSnake_32,Jun-02,24.02,6.85,13.02538889,1.774515543,30,13.52,6,2002
32,MidSnake_32,Jul-02,26.45,9.17,16.82032258,1.216308241,31,15.02,7,2002
32,MidSnake_32,Aug-02,24.2,8.09,14.8584543,0.935982273,31,13.48,8,2002
32,MidSnake_32,Sep-02,22.66,4.98,12.10501488,1.852178024,28,12.4,9,2002
33,MidSnake_33,Apr-02,14.81,2.79,7.237166667,0.449926537,5,12.02,4,2002
33,MidSnake_33,May-02,22.57,1.52,9.911478495,2.267797096,31,16.02,5,2002
33,MidSnake_33,Jun-02,29.61,5.16,15.30993056,3.117301348,30,18.59,6,2002
33,MidSnake_33,Jul-02,30.36,10.45,19.25057796,1.403097403,31,16.8,7,2002
33,MidSnake_33,Aug-02,24.11,9.21,15.76318548,1.214984499,31,12.11,8,2002
33,MidSnake_33,Sep-02,22.23,5.78,12.49026786,2.17142549,28,10.7,9,2002
34,MidSnake_34,Apr-02,13.14,3.22,7.174416667,0.36466292,5,9.92,4,2002
34,MidSnake_34,May-02,15.16,2.91,8.57905914,1.305697796,31,10.23,5,2002
34,MidSnake_34,Jun-02,20.77,6.81,12.13498611,1.956346432,30,9.6,6,2002
34,MidSnake_34,Jul-02,24.3,9.42,15.88658602,1.266316049,31,12.79,7,2002
34,MidSnake_34,Aug-02,21.6,7.12,13.3763172,1.021807914,31,12.48,8,2002
34,MidSnake_34,Sep-02,19.96,4.47,10.97549107,1.777726761,28,11.41,9,2002
35,MidSnake_35,May-02,18.86,6.5,11.8,2.008302369,17,7.27,5,2002
35,MidSnake_35,Jun-02,26.26,6.97,15.71886111,3.43691923,30,10.09,6,2002
35,MidSnake_35,Jul-02,27.32,12.54,19.5584543,1.361541011,31,11.84,7,2002
35,MidSnake_35,Aug-02,23.13,9.44,15.85178763,1.221700328,31,10.87,8,2002
35,MidSnake_35,Sep-02,21.13,4.32,12.12538889,2.481058343,30,9.05,9,2002
35,MidSnake_35,Oct-02,13.47,2.59,8.159404762,1.735379116,7,6.69,10,2002
36,MidSnake_36,May-02,18.53,6.32,11.76566283,2.01010536,17,7.43,5,2002
36,MidSnake_36,Jun-02,26.1,6.95,15.70325,3.460578343,30,9.97,6,2002
36,MidSnake_36,Jul-02,27.33,12.53,19.55291667,1.36608631,31,11.87,7,2002
36,MidSnake_36,Aug-02,22.98,9.27,15.85354839,1.227554894,31,10.87,8,2002
36,MidSnake_36,Sep-02,20.65,4.77,12.18059722,2.427731222,30,8.42,9,2002
36,MidSnake_36,Oct-02,12.84,3.2,8.247440476,1.656032872,7,5.76,10,2002
37,MidSnake_37,May-02,18.4,6.22,11.75438889,2.076333185,15,7.64,5,2002
37,MidSnake_37,Jun-02,26.63,6.68,15.59927778,3.484252175,30,10.38,6,2002
37,MidSnake_37,Jul-02,27.88,12.41,19.49271505,1.370407511,31,12.87,7,2002
37,MidSnake_37,Aug-02,24.02,9,15.74125,1.230138651,31,11.76,8,2002
37,MidSnake_37,Sep-02,22.33,4.35,12.02959722,2.484483144,30,10.49,9,2002
37,MidSnake_37,Oct-02,14.9,0.07,5.531680108,2.479558726,31,8.09,10,2002
37,MidSnake_37,Nov-02,5.13,0.07,1.230451389,1.682289594,12,2.35,11,2002
38,MidSnake_38,Mar-02,10.1,6.07,7.845847826,0.198590893,5,3.87,3,2002
38,MidSnake_38,Apr-02,14.43,4.66,9.489283816,1.755441407,30,6.65,4,2002
38,MidSnake_38,May-02,24.56,7.93,15.16810484,2.743584927,31,7.91,5,2002
38,MidSnake_38,Jun-02,28.27,10.87,20.09294444,3.187987334,30,8.84,6,2002
38,MidSnake_38,Jul-02,28.46,18.09,23.78303763,1.113550031,31,8.49,7,2002
38,MidSnake_38,Aug-02,26.13,14.59,20.18841398,1.203405163,31,8.94,8,2002
38,MidSnake_38,Sep-02,24.56,9.01,16.339125,2.589857144,30,7.11,9,2002
39,MidSnake_39,Jun-02,21.98,8.2,14.68975892,2.728387164,26,7.37,6,2002
39,MidSnake_39,Jul-02,23.15,12.55,17.63290323,1.104153635,31,7.85,7,2002
39,MidSnake_39,Aug-02,19.52,10.22,14.54122312,0.87696029,31,6.97,8,2002
39,MidSnake_39,Sep-02,18.06,6.35,11.2875,2.072614815,30,6.07,9,2002
39,MidSnake_39,Oct-02,10.22,1.64,6.318878205,1.664886405,13,3.9,10,2002
40,MidSnake_40,Jun-02,21.83,6.83,14.19125348,2.628296745,26,10.52,6,2002
40,MidSnake_40,Jul-02,23.16,11.02,17.09068548,1.062667849,31,9.48,7,2002
40,MidSnake_40,Aug-02,18.72,9,14.07447581,0.79044776,31,7.8,8,2002
40,MidSnake_40,Sep-02,17.76,5.9,10.98263889,1.929780588,30,7.9,9,2002
40,MidSnake_40,Oct-02,10.24,1.97,6.652564103,1.507304791,13,6.41,10,2002
41,MidSnake_41,May-02,22.85,6.71,15.47892857,2.374231987,14,12.43,5,2002
41,MidSnake_41,Jun-02,22.02,8.56,17.09494444,2.117976939,30,9.76,6,2002
41,MidSnake_41,Jul-02,25.08,14.14,19.64357527,0.881520912,31,7.25,7,2002
41,MidSnake_41,Aug-02,23.7,13.98,18.87420699,0.715847977,31,8.38,8,2002
41,MidSnake_41,Sep-02,21.85,9.8,15.85361111,2.11361329,30,7.13,9,2002
41,MidSnake_41,Oct-02,13.37,8.87,10.87659722,0.64305955,6,3.57,10,2002
42,MidSnake_42,Mar-03,10.19,0.81,4.548717949,0.943065642,26,7.65,3,2003
42,MidSnake_42,Apr-03,11.74,1.13,6.056652778,1.353614788,30,7.93,4,2003
42,MidSnake_42,May-03,19.17,3.67,10.49727151,3.182969383,31,9,5,2003
42,MidSnake_42,Jun-03,23.13,8.49,15.08290278,1.646747329,30,10.81,6,2003
42,MidSnake_42,Jul-03,25.73,12.68,18.74049731,1.532543257,31,8.95,7,2003
42,MidSnake_42,Aug-03,20.96,12.06,16.16467742,1.031209588,31,5.71,8,2003
42,MidSnake_42,Sep-03,17.24,6.32,11.04536111,2.411230285,30,4.25,9,2003
42,MidSnake_42,Oct-03,13.14,3.82,8.334412879,2.398000533,22,3.26,10,2003
43,MidSnake_43,Apr-03,12.83,1.77,5.972083333,0.798078722,22,10.11,4,2003
43,MidSnake_43,May-03,20.46,3.19,9.251384409,2.51306703,31,11.19,5,2003
43,MidSnake_43,Jun-03,22.78,8.18,13.21841667,0.977399165,30,12.12,6,2003
43,MidSnake_43,Jul-03,26.24,9.56,16.33602151,1.641872794,31,13.16,7,2003
43,MidSnake_43,Aug-03,23.29,10.03,15.7550672,0.663911425,31,12.79,8,2003
43,MidSnake_43,Sep-03,21.62,5.85,12.17991667,2.078298783,30,10.18,9,2003
43,MidSnake_43,Oct-03,17.54,3.19,9.762329545,2.42643417,22,8.21,10,2003
44,MidSnake_44,Apr-03,13.2,1.19,5.792045455,0.856371592,22,11.06,4,2003
44,MidSnake_44,May-03,24.73,2.46,9.35188172,2.998222579,31,15.71,5,2003
44,MidSnake_44,Jun-03,27.91,6.53,14.64341667,1.805859584,30,17.93,6,2003
44,MidSnake_44,Jul-03,31.26,9.78,19.4455914,1.903269244,31,18.21,7,2003
44,MidSnake_44,Aug-03,26.83,9.63,17.13563172,1.012743866,31,15.06,8,2003
44,MidSnake_44,Sep-03,23.36,4.35,12.03580556,2.628056595,30,12.49,9,2003
44,MidSnake_44,Oct-03,17.61,0.39,8.163666667,3.279186719,25,8.9,10,2003
45,MidSnake_45,Apr-03,12.42,2.17,6.002935606,0.794207425,22,8.24,4,2003
45,MidSnake_45,May-03,17.43,3.43,8.889475806,2.046141202,31,9.9,5,2003
45,MidSnake_45,Jun-03,18.4,8.71,12.12172222,0.737792475,30,8.14,6,2003
45,MidSnake_45,Jul-03,22.81,10.11,15.07630376,1.442577874,31,9.58,7,2003
45,MidSnake_45,Aug-03,21.32,10.11,14.94323925,0.557328384,31,10.11,8,2003
45,MidSnake_45,Sep-03,20.17,5.62,11.59869444,1.870985728,30,9.93,9,2003
45,MidSnake_45,Oct-03,16.96,3.75,9.104766667,2.247978246,25,7.76,10,2003
46,MidSnake_46,Jun-03,21.64,6.54,14.44611842,1.842847692,19,10.46,6,2003
46,MidSnake_46,Jul-03,23.82,10.87,17.40864247,1.347671934,31,10.12,7,2003
46,MidSnake_46,Aug-03,20.32,10.25,15.05678763,0.8799715,31,8.65,8,2003
46,MidSnake_46,Sep-03,18.71,4.83,11.50222222,1.93370423,30,8.19,9,2003
46,MidSnake_46,Oct-03,14.73,-0.05,8.25077957,2.760102319,31,6.03,10,2003
46,MidSnake_46,Nov-03,7.01,-0.05,2.472888889,1.631060067,30,4.26,11,2003
46,MidSnake_46,Dec-03,6.7,-0.05,2.101805556,1.599767035,30,3.18,12,2003
47,MidSnake_47,May-03,23.31,9.29,17.05974537,2.889003015,18,6.87,5,2003
47,MidSnake_47,Jun-03,28.05,13.93,20.81395833,1.90920907,30,8.51,6,2003
47,MidSnake_47,Jul-03,30.82,18.21,24.8343414,1.320782946,31,9.42,7,2003
47,MidSnake_47,Aug-03,28.22,17.08,22.0425,1.292746618,31,8.58,8,2003
47,MidSnake_47,Sep-03,24.52,10.38,17.05791667,2.29677772,30,7.19,9,2003
47,MidSnake_47,Oct-03,20,6.82,12.52423077,3.186954146,26,4.93,10,2003
48,MidSnake_48,May-03,22.55,9.81,16.70220588,2.90040022,17,4.84,5,2003
48,MidSnake_48,Jun-03,24.25,13.99,19.60870833,1.47845431,30,6.08,6,2003
48,MidSnake_48,Jul-03,28.13,18.44,23.20052419,1.430297584,31,5.37,7,2003
48,MidSnake_48,Aug-03,26.17,17.31,20.93805108,1.322681713,31,5.14,8,2003
48,MidSnake_48,Sep-03,21.55,12.13,16.706125,1.720565644,30,4.27,9,2003
48,MidSnake_48,Oct-03,18.12,8.57,12.89651235,2.703948887,27,2.79,10,2003
49,MidSnake_49,Jan-03,4.98,0.07,1.266554487,1.376626021,26,3.01,1,2003
49,MidSnake_49,Feb-03,5.61,0.07,1.070252976,1.199539013,28,3.78,2,2003
49,MidSnake_49,Mar-03,9.49,0.07,3.936008065,1.806080134,31,5.53,3,2003
49,MidSnake_49,Apr-03,10.89,1.52,6.377888889,1.578623739,30,6.11,4,2003
49,MidSnake_49,May-03,18.28,4.36,10.27020161,2.698828499,31,7.96,5,2003
49,MidSnake_49,Jun-03,24.08,8.87,15.49554167,2.123119444,30,10.4,6,2003
49,MidSnake_49,Jul-03,27.77,12.76,20.13127688,1.633368873,31,10.37,7,2003
49,MidSnake_49,Aug-03,23.73,12.13,17.57239247,0.971044189,31,9.92,8,2003
49,MidSnake_49,Sep-03,20.55,6.39,12.87777778,2.339450245,30,8.1,9,2003
49,MidSnake_49,Oct-03,16.36,3.11,9.422466667,2.88955937,25,5.29,10,2003
50,MidSnake_50,Apr-04,15.56,2.98,7.424027778,1.162516721,21,10.86,4,2004
50,MidSnake_50,May-04,17.13,5.63,9.927540323,0.661098179,31,10.24,5,2004
50,MidSnake_50,Jun-04,22.68,7.34,12.83875,1.506261564,30,12.12,6,2004
50,MidSnake_50,Jul-04,25.42,8.42,15.99223118,1.489408916,31,13.91,7,2004
50,MidSnake_50,Aug-04,25.42,8.57,15.99153226,1.723658635,31,12.92,8,2004
50,MidSnake_50,Sep-04,19.72,4.7,11.60586111,1.521008772,30,11.73,9,2004
50,MidSnake_50,Oct-04,16.82,3.29,8.474,1.881577342,30,9.13,10,2004
51,MidSnake_51,Apr-04,17.31,2.48,7.239384921,1.291739915,21,13.57,4,2004
51,MidSnake_51,May-04,20.55,4.37,9.986908602,0.924341036,31,14.93,5,2004
51,MidSnake_51,Jun-04,27.58,5.46,14.61438889,2.734230445,30,17.96,6,2004
51,MidSnake_51,Jul-04,29.97,8.41,18.53572581,1.55595825,31,17.42,7,2004
51,MidSnake_51,Aug-04,29.04,7.79,17.12358871,2.17413835,31,16.99,8,2004
51,MidSnake_51,Sep-04,21.38,2.32,11.41791667,2.158802644,30,14.63,9,2004
51,MidSnake_51,Oct-04,17.63,0.08,6.819813218,2.659509241,29,11.18,10,2004
52,MidSnake_52,Apr-04,15.94,2.85,7.54672619,1.268862565,21,10.89,4,2004
52,MidSnake_52,May-04,16.42,5.67,9.595873656,0.651240184,31,10.11,5,2004
52,MidSnake_52,Jun-04,19.98,7.23,12.087625,1.743403012,30,9.44,6,2004
52,MidSnake_52,Jul-04,23.47,8.62,15.4043414,1.400309918,31,11.49,7,2004
52,MidSnake_52,Aug-04,23.98,8.46,15.07123656,1.766179969,31,12.26,8,2004
52,MidSnake_52,Sep-04,17.53,3.96,10.57691667,1.656408501,30,9.82,9,2004
52,MidSnake_52,Oct-04,15.47,3.01,7.240981183,2.020788913,31,8.69,10,2004
52,MidSnake_52,Nov-04,7.23,3.48,4.600833333,0.584541606,2,3.59,11,2004
53,MidSnake_53,Apr-04,15.63,1.74,6.446448413,1.283168987,21,12.62,4,2004
53,MidSnake_53,May-04,18.18,3.64,9.463803763,0.982619319,31,12.97,5,2004
53,MidSnake_53,Jun-04,24.86,5.05,14.06656944,2.867256373,30,14.3,6,2004
53,MidSnake_53,Jul-04,25.73,8.77,17.65653226,1.411975769,31,13.59,7,2004
53,MidSnake_53,Aug-04,24.68,8.16,16.16876344,2.132002988,31,11.8,8,2004
53,MidSnake_53,Sep-04,18.51,3.17,10.32315278,2.035834465,30,8.86,9,2004
53,MidSnake_53,Oct-04,12.96,0.79,5.901908602,2.376866654,31,6.05,10,2004
53,MidSnake_53,Nov-04,3.64,0.79,1.605625,0.983762309,2,2.85,11,2004
54,MidSnake_54,Jun-04,28.42,10.62,18.30145833,0.741584191,12,17.34,6,2004
54,MidSnake_54,Jul-04,30.82,10.31,19.14669355,1.165561738,31,18.9,7,2004
54,MidSnake_54,Aug-04,30.82,9.85,17.71622312,1.595800743,31,15.87,8,2004
54,MidSnake_54,Sep-04,20.69,7.23,12.81840278,1.56151418,30,12.36,9,2004
54,MidSnake_54,Oct-04,14.01,8,11.43255952,0.983280526,7,3.86,10,2004
55,MidSnake_55,May-04,21.14,6.51,13.11572531,1.296810826,27,11.46,5,2004
55,MidSnake_55,Jun-04,22.31,10.53,15.75229167,1.571188951,30,10.08,6,2004
55,MidSnake_55,Jul-04,21.64,12.86,16.69799731,0.708845186,31,8,7,2004
